school,overallScore,city.name
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,3.7,Berlin
ironhack,3.7,Mexico City
ironhack,3.7,Amsterdam
ironhack,3.7,Sao Paulo
ironhack,3.7,Paris
ironhack,3.7,Miami
ironhack,3.7,Madrid
ironhack,3.7,Barcelona
ironhack,3.7,Lisbon
ironhack,3.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
